21
20     
1   
0.0372   
-2	17.68675418	16.87050119
-1.6	17.72224344	16.79952267
-1.4	17.79322196	16.76403341
-1.2	17.79322196	16.69305489
-1	17.86420048	16.58658711
-0.8	18.07713604	16.37365155
-0.6	18.36105012	16.01875895
-0.4	18.89338902	15.45093079
-0.2	20.41942721	13.99587112
-0.1	22.33584726	12.36336516
0	24.39422434	9.275799523
0.1	22.4778043	11.47613365
0.2	20.10002387	13.1602148
0.4	18.36105012	14.88310263
0.6	17.82871122	15.73484487
0.8	17.5802864	15.98326969
1	17.50930788	16.19620525
1.2	17.43832936	16.19620525
1.4	17.4028401	16.33816229
1.6	17.36735084	16.40914081
2	17.36735084	16.51560859
