0.048	10e-6	359.4	2.055e6	2.13e6	4.798
3000	600	91e-9
0.3	1e-9	1e-9
6.469
-2	8.566326969	5.052772076	2.710402148
-1.8	8.743779236	4.875319809	2.674911695
-1.6	8.921231504	4.626886635	2.674911695
-1.4	9.205155131	4.342963007	2.710402148
-1.2	9.631040573	4.130020286	2.852363962
-1	10.30535919	3.810606205	3.065306683
-0.8	11.29909189	3.668644391	3.668644391
-0.6	12.57674821	3.704134845	4.697867542
-0.4	14.24479952	4.023548926	6.436899761
-0.2	16.19677446	4.875319809	8.956721957
0	17.58090215	5.833562053	12.15086277
0.2	18.53914439	7.288670644	14.88362768
0.4	19.28444391	9.134174224	17.68737351
0.6	19.6748389	10.83771599	19.53287709
0.8	19.6748389	12.15086277	20.81053341
1	19.53287709	13.07361456	21.48485203
1.2	19.31993437	13.67695227	21.87524702
1.4	19.00052029	14.13832816	22.08818974
1.6	18.75208711	14.45774224	22.12368019
1.8	18.53914439	14.70617542	22.15917064
2	18.39718258	14.88362768	22.15917064
